antecedents,consequents,support,confidence,lift
#floodsl,#lka,0.01,0.539,40.013
#lka,#floodsl,0.01,0.762,40.013
#iraq,#iran,0.006,0.659,25.672
#wildfires,#california,0.007,0.508,25.541
#california,#wildfires,0.007,0.333,25.541
#floodsl,#srilanka,0.008,0.404,22.778
#srilanka,#floodsl,0.008,0.434,22.778
#srilanka,flood,0.008,0.434,21.117
flood,#srilanka,0.008,0.375,21.117
#iran,#earthquake,0.018,0.717,18.507
#earthquake,#iran,0.018,0.475,18.507
#iraq,#earthquake,0.005,0.545,14.085
#mexico,#earthquake,0.011,0.486,12.55
#earthquake,#mexico,0.011,0.287,12.55
#dominica,#hurricanemaria,0.007,0.733,8.239
#puertorico,#hurricanemaria,0.025,0.627,7.045
#hurricanemaria,#puertorico,0.025,0.279,7.045
#houston,#harvey,0.009,0.647,5.884
#money,#irma,0.015,0.959,5.877
#hurricane,#maria,0.008,0.286,4.964
